"","UTLA20CD","year","gdp_deflation_multiplier","population","total_welfare","quarter","deflated_per_person_benefits","time"
"102","E06000002",2017,1.06472460897989,140639,69864016.825,2,528.914013863597,34
"103","E06000002",2017,1.06472460897989,140639,69328471.4,3,524.859602262092,35
"104","E06000002",2017,1.06472460897989,140639,68773966.8466667,4,520.661658279801,36
"105","E06000002",2017,1.06472460897989,140639,67668353.2,2,512.291476057018,34
"106","E06000002",2018,1.04629871828407,140545,67135028.475,2,499.7921964165,38
"107","E06000002",2018,1.04629871828407,140545,65816955.92,1,489.979697751291,37
"108","E06000002",2018,1.04629871828407,140545,62691593.22,2,466.712680161317,38
"109","E06000002",2018,1.04629871828407,140545,65995136.6633333,4,491.306178831177,40
"110","E06000002",2018,1.04629871828407,140545,66325192.2133333,3,493.763304299372,39
"111","E06000002",2019,1.02253670906786,140980,57762727.8133333,1,418.956657717606,41
"112","E06000002",2019,1.02253670906786,140980,56583008.72,2,410.400081754196,42
"113","E06000002",2019,1.02253670906786,140980,61444418.8666667,3,445.660191931538,43
"114","E06000002",2019,1.02253670906786,140980,59674653.3866667,4,432.823972824281,44
"115","E06000002",2019,1.02253670906786,140980,61601896.205,2,446.802384861685,42
"116","E06000002",2020,1,141285,48108142.46,4,340.504246452206,48
"117","E06000002",2020,1,141285,47372738.24,2,335.299134656899,46
"118","E06000002",2020,1,141285,50797173.95,2,359.536921470786,46
"119","E06000002",2020,1,141285,49479640.3266667,3,350.21156051008,47
"120","E06000002",2020,1,141285,47346830.8533333,1,335.115764966793,45
"125","E06000003",2009,1.21670783194831,135867,51659620.26,2,462.619065452375,2
"126","E06000003",2009,1.21670783194831,135867,49196756.22,4,440.563776335136,4
"127","E06000003",2009,1.21670783194831,135867,50253568.8333333,1,450.027679884522,1
"128","E06000003",2010,1.19757610596153,135383,53023995.84,2,469.041685149448,6
"129","E06000003",2010,1.19757610596153,135383,53793960.7866667,1,475.852670447129,5
"130","E06000003",2010,1.19757610596153,135383,53514139.8,4,473.377419288723,8
"131","E06000003",2010,1.19757610596153,135383,54104184.12,2,478.596855843462,6
"132","E06000003",2010,1.19757610596153,135383,53186660.5866667,3,470.480591170812,7
"133","E06000003",2011,1.17602784833945,135164,54597926.01,2,475.042773588653,10
"134","E06000003",2011,1.17602784833945,135164,54624445.52,1,475.273513151586,9
"135","E06000003",2011,1.17602784833945,135164,54475550.7466667,4,473.978017310148,12
"136","E06000003",2011,1.17602784833945,135164,55474701.48,2,482.671375653263,10
"137","E06000003",2011,1.17602784833945,135164,54567214.7066667,3,474.775562289943,11
"138","E06000003",2012,1.15846665353738,134976,56170194.9866667,1,482.095319277099,13
"139","E06000003",2012,1.15846665353738,134976,55993572.1866667,3,480.579408122121,15
"140","E06000003",2012,1.15846665353738,134976,55805984.1733333,4,478.969385169522,16
"141","E06000003",2012,1.15846665353738,134976,55619580.32,2,477.369525578353,14
"142","E06000003",2012,1.15846665353738,134976,57249407,2,491.357937294699,14
"143","E06000003",2013,1.13525418341167,134960,56478593.2,2,475.085649107185,18
"144","E06000003",2013,1.13525418341167,134960,56684738.6266667,4,476.819699625965,20
"145","E06000003",2013,1.13525418341167,134960,56630137.3066667,1,476.360405190948,17
"146","E06000003",2013,1.13525418341167,134960,56814692.11,2,477.912840079455,18
"147","E06000003",2013,1.13525418341167,134960,56647887.32,3,476.509714444744,19
"148","E06000003",2014,1.11515043379352,135102,53412801.88,2,440.876590921002,22
"149","E06000003",2014,1.11515043379352,135102,53699428.4125,2,443.242445623776,22
"150","E06000003",2014,1.11515043379352,135102,53169152.0833333,3,438.86547208896,23
"151","E06000003",2014,1.11515043379352,135102,52893595.4666667,1,436.590989989432,21
"152","E06000003",2014,1.11515043379352,135102,52823531.84,4,436.012675207486,24
"153","E06000003",2015,1.09997690048509,135324,53517479.015,2,435.015153917232,26
"154","E06000003",2015,1.09997690048509,135324,53368120.1466667,4,433.801095028571,28
"155","E06000003",2015,1.09997690048509,135324,53690209.1666667,1,436.419185551315,25
"156","E06000003",2015,1.09997690048509,135324,53891857.13,2,438.058274712857,26
"157","E06000003",2015,1.09997690048509,135324,53326689.93,3,433.46433080851,27
"158","E06000003",2016,1.09107175978964,135496,53938398.36,2,434.335059476884,30
"159","E06000003",2016,1.09107175978964,135496,53766261.375,2,432.948938830158,30
"160","E06000003",2016,1.09107175978964,135496,54436825.2233333,4,438.348605817024,32
"161","E06000003",2016,1.09107175978964,135496,54892283.7333333,1,442.016152593437,29
"162","E06000003",2016,1.09107175978964,135496,53508576.5666667,3,430.873950510951,31
"163","E06000003",2017,1.06472460897989,136005,53621169.61,2,419.777058534991,34
"164","E06000003",2017,1.06472460897989,136005,52994021.2766667,3,414.867384155514,35
"165","E06000003",2017,1.06472460897989,136005,52264476.0733333,1,409.15608875202,33
"166","E06000003",2017,1.06472460897989,136005,51822222.64,2,405.693876966602,34
"167","E06000003",2017,1.06472460897989,136005,52505448.48,4,411.042558010232,36
"168","E06000003",2018,1.04629871828407,136718,50557092.7066667,1,386.911901133386,37
"169","E06000003",2018,1.04629871828407,136718,51515851.065,2,394.249249847296,38
"170","E06000003",2018,1.04629871828407,136718,50755005.52,4,388.426521906968,40
"171","E06000003",2018,1.04629871828407,136718,51073812.6266667,3,390.866343050382,39
"172","E06000003",2018,1.04629871828407,136718,48196964.88,2,368.849914269711,38
"173","E06000003",2019,1.02253670906786,137150,46572755.1333333,4,347.228230158671,44
"174","E06000003",2019,1.02253670906786,137150,47077106.87,3,350.988479265662,43
"175","E06000003",2019,1.02253670906786,137150,45361257.9733333,1,338.195781605762,41
"176","E06000003",2019,1.02253670906786,137150,47288674.35,2,352.565843572953,42
"177","E06000003",2019,1.02253670906786,137150,44404852.05,2,331.065193451345,42
"178","E06000003",2020,1,137228,39279019.1733333,3,286.231812555261,47
"179","E06000003",2020,1,137228,38254151.88,2,278.763458477862,46
"180","E06000003",2020,1,137228,38277416.9066667,4,278.932994043975,48
"181","E06000003",2020,1,137228,40330156.17,2,293.891597706008,46
"182","E06000003",2020,1,137228,37878705.54,1,276.027527472527,45
"187","E06000004",2009,1.21670783194831,189978,63628260.96,2,407.505097660167,2
"188","E06000004",2009,1.21670783194831,189978,61607785.68,1,394.565030402727,1
"189","E06000004",2009,1.21670783194831,189978,60141536.22,4,385.174484120673,4
"190","E06000004",2010,1.19757610596153,190902,67035635.4,2,420.531346989498,6
"191","E06000004",2010,1.19757610596153,190902,66837203.4,1,419.286533305733,5
"192","E06000004",2010,1.19757610596153,190902,65435937.24,2,410.496039380533,6
"193","E06000004",2010,1.19757610596153,190902,66568989.1466667,4,417.603958052093,8
"194","E06000004",2010,1.19757610596153,190902,65824656.5733333,3,412.93457321216,7
"195","E06000004",2011,1.17602784833945,191824,67505176.4,4,413.858366802209,12
"196","E06000004",2011,1.17602784833945,191824,67690180.52,3,414.992583569545,11
"197","E06000004",2011,1.17602784833945,191824,69165469.76,2,424.037235076111,10
"198","E06000004",2011,1.17602784833945,191824,67897741.4,1,416.265090529602,9
"199","E06000004",2011,1.17602784833945,191824,67532612.3,2,414.026569855238,10
"200","E06000004",2012,1.15846665353738,192487,71790260.68,2,432.063583756491,14
"201","E06000004",2012,1.15846665353738,192487,69628564.88,4,419.053601267326,16
"202","E06000004",2012,1.15846665353738,192487,69505114.72,2,418.310626969146,14
"203","E06000004",2012,1.15846665353738,192487,69731119.8533333,3,419.670819660054,15
"204","E06000004",2012,1.15846665353738,192487,70133216.8533333,1,422.090806287657,13
"205","E06000004",2013,1.13525418341167,193433,71013715.36,4,416.777992597154,20
"206","E06000004",2013,1.13525418341167,193433,71507074.96,2,419.673509648672,18
"207","E06000004",2013,1.13525418341167,193433,71225957.52,3,418.023637342551,19
"208","E06000004",2013,1.13525418341167,193433,71135703.08,1,417.493935944229,17
"209","E06000004",2013,1.13525418341167,193433,71072902.78,2,417.125362312561,18
"210","E06000004",2014,1.11515043379352,194423,67928360.82,3,389.616151562859,23
"211","E06000004",2014,1.11515043379352,194423,67556288.45,4,387.482059069645,24
"212","E06000004",2014,1.11515043379352,194423,68077287.8,2,390.470350841496,22
"213","E06000004",2014,1.11515043379352,194423,68439973.07,2,392.550601820912,22
"214","E06000004",2014,1.11515043379352,194423,67659312.2966667,1,388.072972116462,21
"215","E06000004",2015,1.09997690048509,195128,67924457.3233333,3,382.904216891743,27
"216","E06000004",2015,1.09997690048509,195128,68094603.6375,2,383.863366861434,26
"217","E06000004",2015,1.09997690048509,195128,68536465.56,2,386.354233922819,26
"218","E06000004",2015,1.09997690048509,195128,68042317.64,1,383.568619877563,25
"219","E06000004",2015,1.09997690048509,195128,67714360.3466667,4,381.719856773281,28
"220","E06000004",2016,1.09107175978964,195958,67598476.44,2,376.380595068787,30
"221","E06000004",2016,1.09107175978964,195958,68268779.84,3,380.112767831476,31
"222","E06000004",2016,1.09107175978964,195958,68232777.5775,2,379.912311346401,30
"223","E06000004",2016,1.09107175978964,195958,68417608.0666667,4,380.941426396962,32
"224","E06000004",2016,1.09107175978964,195958,68292024.19,1,380.242189717083,29
"225","E06000004",2017,1.06472460897989,196487,66494296.66,3,360.319583538408,35
"226","E06000004",2017,1.06472460897989,196487,67024473.99,2,363.192510756871,34
"227","E06000004",2017,1.06472460897989,196487,64987288.23,2,352.153399712704,34
"228","E06000004",2017,1.06472460897989,196487,65605308.4133333,1,355.502330166328,33
"229","E06000004",2017,1.06472460897989,196487,65990827.44,4,357.59138234241,36
"230","E06000004",2018,1.04629871828407,197213,64365309.4675,2,341.485301667754,38
"231","E06000004",2018,1.04629871828407,197213,60302173.3,2,319.928638748632,38
"232","E06000004",2018,1.04629871828407,197213,63537448.88,3,337.093149671592,39
"233","E06000004",2018,1.04629871828407,197213,63056800.9733333,1,334.543108403058,37
"234","E06000004",2018,1.04629871828407,197213,62985672.8266667,4,334.165743377978,40
"235","E06000004",2019,1.02253670906786,197348,52232080.57,2,270.634715192527,42
"236","E06000004",2019,1.02253670906786,197348,54348710.54,4,281.601797928801,44
"237","E06000004",2019,1.02253670906786,197348,56903292.6,3,294.838080701751,43
"238","E06000004",2019,1.02253670906786,197348,53006816.2366667,1,274.648921867998,41
"239","E06000004",2019,1.02253670906786,197348,58121434.855,2,301.149749290256,42
"240","E06000004",2020,1,197419,47101191.24,2,238.584894260431,46
"241","E06000004",2020,1,197419,45284846.82,2,229.384440302099,46
"242","E06000004",2020,1,197419,44687307.1066667,1,226.357681411955,45
"243","E06000004",2020,1,197419,46204408.3933333,3,234.042358604457,47
"244","E06000004",2020,1,197419,45262301.6033333,4,229.270240469931,48
"249","E06000005",2009,1.21670783194831,104355,32848312.45,4,382.988826833408,4
"250","E06000005",2009,1.21670783194831,104355,34707714.76,2,404.668184346894,2
"251","E06000005",2009,1.21670783194831,104355,33681394.4533333,1,392.701992451834,1
"252","E06000005",2010,1.19757610596153,105028,36149436.88,1,412.192004526913,5
"253","E06000005",2010,1.19757610596153,105028,35875478.44,3,409.068208189075,7
"254","E06000005",2010,1.19757610596153,105028,35767615.11,2,407.838302385694,6
"255","E06000005",2010,1.19757610596153,105028,36323451.96,2,414.176202092182,6
"256","E06000005",2010,1.19757610596153,105028,35902378.0266667,4,409.374929275378,8
"257","E06000005",2011,1.17602784833945,105584,37139644.7333333,1,413.673061106167,9
"258","E06000005",2011,1.17602784833945,105584,37770787.28,2,420.702925585178,10
"259","E06000005",2011,1.17602784833945,105584,36805579.36,4,409.952135755679,12
"260","E06000005",2011,1.17602784833945,105584,36828236.3,2,410.204495889773,10
"261","E06000005",2011,1.17602784833945,105584,36858291.1733333,3,410.539256535499,11
"262","E06000005",2012,1.15846665353738,105503,38353421.1066667,3,421.136454898439,15
"263","E06000005",2012,1.15846665353738,105503,38182262.8,4,419.25706577444,16
"264","E06000005",2012,1.15846665353738,105503,38337812.84,1,420.965069663395,13
"265","E06000005",2012,1.15846665353738,105503,39007866.96,2,428.322541527563,14
"266","E06000005",2012,1.15846665353738,105503,38075045.28,2,418.079772980917,14
"267","E06000005",2013,1.13525418341167,105726,38608384.42,2,414.565290728589,18
"268","E06000005",2013,1.13525418341167,105726,38583905.7333333,4,414.302445908556,20
"269","E06000005",2013,1.13525418341167,105726,38647315.0933333,3,414.983316661327,19
"270","E06000005",2013,1.13525418341167,105726,38707974.2,1,415.634656015936,17
"271","E06000005",2013,1.13525418341167,105726,38720024.44,2,415.764047890887,18
"272","E06000005",2014,1.11515043379352,105877,37010515.3575,2,389.813578547161,22
"273","E06000005",2014,1.11515043379352,105877,36737775.87,2,386.940947496053,22
"274","E06000005",2014,1.11515043379352,105877,36423192.2933333,4,383.627593207736,24
"275","E06000005",2014,1.11515043379352,105877,36687985.04,3,386.416525141118,23
"276","E06000005",2014,1.11515043379352,105877,36466680.3533333,1,384.085631582206,21
"277","E06000005",2015,1.09997690048509,105998,36480965.73,3,378.575252461256,27
"278","E06000005",2015,1.09997690048509,105998,36350091.3133333,4,377.217124617355,28
"279","E06000005",2015,1.09997690048509,105998,36500747.9933333,1,378.780539662014,25
"280","E06000005",2015,1.09997690048509,105998,36604436.1575,2,379.856546619099,26
"281","E06000005",2015,1.09997690048509,105998,36651459.23,2,380.344520859554,26
"282","E06000005",2016,1.09107175978964,106327,36162852.41,1,371.084174461724,29
"283","E06000005",2016,1.09107175978964,106327,35805793.02,2,367.42021876847,30
"284","E06000005",2016,1.09107175978964,106327,36536501.22,2,374.918362059136,30
"285","E06000005",2016,1.09107175978964,106327,36331611.66,4,372.815893139749,32
"286","E06000005",2016,1.09107175978964,106327,36463568.2066667,3,374.169961829614,31
"287","E06000005",2017,1.06472460897989,106347,34606479.68,4,346.473060316308,36
"288","E06000005",2017,1.06472460897989,106347,34117328.04,2,341.575773240689,34
"289","E06000005",2017,1.06472460897989,106347,34354704.16,1,343.952334841375,33
"290","E06000005",2017,1.06472460897989,106347,35229125.6625,2,352.706865691638,34
"291","E06000005",2017,1.06472460897989,106347,34925152.56,3,349.66354860042,35
"292","E06000005",2018,1.04629871828407,106566,33527252.3425,2,329.181175548903,38
"293","E06000005",2018,1.04629871828407,106566,31761706.45,2,311.846487145524,38
"294","E06000005",2018,1.04629871828407,106566,33003394.2666667,1,324.037771148745,37
"295","E06000005",2018,1.04629871828407,106566,33167024.9933333,4,325.644349415577,40
"296","E06000005",2018,1.04629871828407,106566,33378063.1733333,3,327.716389064649,39
"297","E06000005",2019,1.02253670906786,106803,29435897.7566667,3,281.820604482644,43
"298","E06000005",2019,1.02253670906786,106803,30357068.005,2,290.639929728395,42
"299","E06000005",2019,1.02253670906786,106803,27194476.9,2,260.361140737131,42
"300","E06000005",2019,1.02253670906786,106803,27529989.0833333,1,263.573349418515,41
"301","E06000005",2019,1.02253670906786,106803,28222470.6933333,4,270.203199390701,44
"302","E06000005",2020,1,107402,23352347.4,4,217.429353270889,48
"303","E06000005",2020,1,107402,24350141.965,2,226.719632455634,46
"304","E06000005",2020,1,107402,23299920.7,2,216.941218040632,46
"305","E06000005",2020,1,107402,23842667.4933333,3,221.9946322539,47
"306","E06000005",2020,1,107402,23119916.5266667,1,215.265232739303,45
"311","E06000006",2009,1.21670783194831,123636,49565168.64,4,487.773212301651,4
"312","E06000006",2009,1.21670783194831,123636,50506561.0066667,1,497.037499931951,1
"313","E06000006",2009,1.21670783194831,123636,52686840.3,2,518.49373348879,2
"314","E06000006",2010,1.19757610596153,124802,54927733.36,1,527.076016622829,5
"315","E06000006",2010,1.19757610596153,124802,54561280.28,4,523.559603003143,8
"316","E06000006",2010,1.19757610596153,124802,54970058.56,2,527.482161141346,6
"317","E06000006",2010,1.19757610596153,124802,54224981.3333333,3,520.33254267568,7
"318","E06000006",2010,1.19757610596153,124802,54032911.63,2,518.489478562996,6
"319","E06000006",2011,1.17602784833945,125722,55558487.36,2,519.704811782944,10
"320","E06000006",2011,1.17602784833945,125722,55052666.52,4,514.973266038281,12
"321","E06000006",2011,1.17602784833945,125722,56279708.96,2,526.451257802128,10
"322","E06000006",2011,1.17602784833945,125722,55105761.5333333,1,515.469927038647,9
"323","E06000006",2011,1.17602784833945,125722,55387481.96,3,518.105194272751,11
"324","E06000006",2012,1.15846665353738,125781,56319609.08,3,518.714186239901,15
"325","E06000006",2012,1.15846665353738,125781,57379853.52,2,528.479236830518,14
"326","E06000006",2012,1.15846665353738,125781,56140604.25,2,517.065518107376,14
"327","E06000006",2012,1.15846665353738,125781,56109871.2533333,4,516.782461431076,16
"328","E06000006",2012,1.15846665353738,125781,56097784.6666667,1,516.671141695914,13
"329","E06000006",2013,1.13525418341167,126074,56346279.12,2,507.379389014875,18
"330","E06000006",2013,1.13525418341167,126074,56847949.05,2,511.896758866901,18
"331","E06000006",2013,1.13525418341167,126074,56498254.2,3,508.747873756728,19
"332","E06000006",2013,1.13525418341167,126074,56507583.96,1,508.831885123625,17
"333","E06000006",2013,1.13525418341167,126074,56499453.1866667,4,508.758670230459,20
"334","E06000006",2014,1.11515043379352,126501,53890163.64,1,475.0605873499,21
"335","E06000006",2014,1.11515043379352,126501,54224307.98,2,478.006186243985,22
"336","E06000006",2014,1.11515043379352,126501,54247550.96,2,478.211081218963,22
"337","E06000006",2014,1.11515043379352,126501,53936455.0933333,3,475.468662655752,23
"338","E06000006",2014,1.11515043379352,126501,53774539.2933333,4,474.041318408608,24
"339","E06000006",2015,1.09997690048509,126719,53798110.5866667,4,466.991366212452,28
"340","E06000006",2015,1.09997690048509,126719,53993488.0933333,3,468.687329281981,27
"341","E06000006",2015,1.09997690048509,126719,54040564.65,2,469.095974590796,26
"342","E06000006",2015,1.09997690048509,126719,53613151.4933333,1,465.385839573184,25
"343","E06000006",2015,1.09997690048509,126719,53724924.93,2,466.356082381454,26
"344","E06000006",2016,1.09107175978964,127306,52503065.96,3,449.975747972042,31
"345","E06000006",2016,1.09107175978964,127306,51695724.2933333,1,443.056453571138,29
"346","E06000006",2016,1.09107175978964,127306,51179090.79,2,438.6286636347,30
"347","E06000006",2016,1.09107175978964,127306,51925427.9933333,4,445.025121349477,32
"348","E06000006",2016,1.09107175978964,127306,52975909.7175,2,454.028239375441,30
"349","E06000006",2017,1.06472460897989,127595,48873634.935,2,407.829161374612,34
"350","E06000006",2017,1.06472460897989,127595,43632641.7,2,364.095359322795,34
"351","E06000006",2017,1.06472460897989,127595,46264221.5766667,4,386.054745311143,36
"352","E06000006",2017,1.06472460897989,127595,44801808.0133333,1,373.851542134004,33
"353","E06000006",2017,1.06472460897989,127595,47972167.86,3,400.306811917834,35
"354","E06000006",2018,1.04629871828407,128432,39698807.64,3,323.414815241823,39
"355","E06000006",2018,1.04629871828407,128432,39004433.7466667,4,317.75795001661,40
"356","E06000006",2018,1.04629871828407,128432,38313222.7666667,1,312.126852140396,37
"357","E06000006",2018,1.04629871828407,128432,36051546.8,2,293.701625833111,38
"358","E06000006",2018,1.04629871828407,128432,40687009.16,2,331.465409982872,38
"359","E06000006",2019,1.02253670906786,129410,33235201.08,3,262.608864365595,43
"360","E06000006",2019,1.02253670906786,129410,32510399.36,4,256.881823445299,44
"361","E06000006",2019,1.02253670906786,129410,33950300.43,2,268.259241739875,42
"362","E06000006",2019,1.02253670906786,129410,32073778.2,2,253.431849223401,42
"363","E06000006",2019,1.02253670906786,129410,32169896.16,1,254.191327953798,41
"364","E06000006",2020,1,129759,30019157.85,2,231.345477770328,46
"365","E06000006",2020,1,129759,29512302.1866667,3,227.439346686293,47
"366","E06000006",2020,1,129759,28610803.42,1,220.491861219646,45
"367","E06000006",2020,1,129759,28914455.0333333,4,222.831981082879,48
"368","E06000006",2020,1,129759,28846184.58,2,222.305848380459,46
"373","E06000007",2009,1.21670783194831,200057,51452300.68,1,312.922903018218,1
"374","E06000007",2009,1.21670783194831,200057,53611729.84,2,326.056131905533,2
"375","E06000007",2009,1.21670783194831,200057,50234786.2,4,305.518216337289,4
"376","E06000007",2010,1.19757610596153,201309,55977356.88,3,333.006199794194,7
"377","E06000007",2010,1.19757610596153,201309,56907522.36,2,338.539702784315,6
"378","E06000007",2010,1.19757610596153,201309,56317885.9066667,1,335.031988138095,5
"379","E06000007",2010,1.19757610596153,201309,55671551.4,2,331.186979908744,6
"380","E06000007",2010,1.19757610596153,201309,55950247.68,4,332.84492866289,8
"381","E06000007",2011,1.17602784833945,202709,58113230.96,3,337.147230591351,11
